docID,sentence,subject,predicate,object,root,synonyms,level,distance
10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,accomplished by,extensive O mdash H,accomplish,"{'action', 'attain', 'fulfil', 'accomplish', 'fulfill', 'achieve', 'reach', 'execute'}",3,20,crystal:0:structure:1:further:0:consolidation,extensive:2:o:1:mdash:0:h,is,3
10.1107/S1600536804023086,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,title compound,determined at,palladium center,determine,"{'regulate', 'influence', 'find', 'decide', 'settle', 'learn', 'watch', 'fix', 'ascertain', 'limit', 'specify', 'see', 'set', 'mold', 'determine', 'shape'}",1,65,title:0:compound,palladium:0:center,,10
10.1107/S1600536804023086,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,palladium center,is in,coordination geometry,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,22,palladium:0:center,coordination:0:geometry,,4
10.1107/S1600536804023086,The structure of the title compound PdCl2C26H27N2P middot C4H10O was determined at 150 emsp14 K The palladium center is in a squareplanar coordination geometry,structure of the title compound,determined at,palladium center,determine,"{'regulate', 'influence', 'find', 'decide', 'settle', 'learn', 'watch', 'fix', 'ascertain', 'limit', 'specify', 'see', 'set', 'mold', 'determine', 'shape'}",2,65,title:0:compound:1:structure,palladium:0:center,,10
10.1107/S1600536804023086,The two chloride ligands are also involved in weak nonclassical hydrogen bonds linking two neighboring molecules,two chloride ligands,involved in,classical hydrogen,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",1,30,chloride:0:ligand,classical:0:hydrogen,,6
10.1107/S1600536804020690,the Ce and each of two Zn atoms are bridged by three bidentate carboxylate groups,Zn atoms,bridged by,carboxylate groups,bridge,{'bridge'},1,32,zn:0:atom,carboxylate:0:group,are,5
10.1107/S1600536804020690,the Ce and each of two Zn atoms are bridged by three bidentate carboxylate groups,Zn atoms,bridged by,bidentate carboxylate groups,bridge,{'bridge'},2,22,zn:0:atom,bidentate:1:carboxylate:0:group,are,4
10.1107/S1600536804021270,Interestingly the oxidation and decomposition of  alpha pyridoin and the autoredox reaction of cobalt nitrate occurred during the reaction process,cobalt nitrate,occurred during,reaction process,occur,"{'hap', 'happen', 'pass', 'occur'}",1,21,cobalt:0:nitrate,reaction:0:process,,3
10.1107/S1600536804021385,The title compound C14H12N4O3S2 has normal bond lengths and angles,title compound,has,bond lengths,have,"{'hold', 'experience', 'consume', 'get', 'ingest', 'possess', 'let', 'receive', 'own', 'feature', 'undergo', 'give', 'have'}",1,25,title:0:compound,bond:0:length,,3
10.1107/S1600536804021385,The crystal packing is mainly stabilized by van der Waals interactions,crystal packing,stabilized by,Waals interactions,stabilize,"{'stabilise', 'steady', 'stabilize', 'brace'}",1,33,crystal:0:pack,waal:0:interaction,,6
10.1107/S1600536804021385,The crystal packing is mainly stabilized by van der Waals interactions,crystal packing,stabilized by,der Waals interactions,stabilize,"{'stabilise', 'steady', 'stabilize', 'brace'}",2,29,crystal:0:pack,der:1:waal:0:interaction,,5
10.1107/S1600536804021385,The crystal packing is mainly stabilized by van der Waals interactions,crystal packing,stabilized by,van der Waals interactions,stabilize,"{'stabilise', 'steady', 'stabilize', 'brace'}",3,25,crystal:0:pack,van:2:der:1:waal:0:interaction,,4
10.1107/S1600536804021786,The structure of the title compound C7H5ClN2O comprises a planar molecule that associates via N mdash H,title compound,comprises,planar molecule,comprise,"{'be', 'contain', 'constitute', 'comprise', 'consist', 'represent', 'incorporate'}",1,23,title:0:compound,planar:0:molecule,,3
10.1107/S1600536804021786,The structure of the title compound C7H5ClN2O comprises a planar molecule that associates via N mdash H,structure of the title compound,comprises,planar molecule,comprise,"{'be', 'contain', 'constitute', 'comprise', 'consist', 'represent', 'incorporate'}",2,23,title:0:compound:1:structure,planar:0:molecule,,3
10.1107/S1600536804021786,Cl associations from the second 2amino H atom create a twodimensional hydrogenbonding network containing C228 helical chains,H atom,create,helical chains,create,"{'make', 'create', 'produce'}",1,65,h:0:atom,helical:0:chain,,7
10.1107/S1600536804022160,In the crystal structure the phosphinate O atoms are involved in hydrogen bonds with the water molecule of crystallization and the NH group of the proplyamine side chain of the anthracene moiety,crystal structure,involved in,hydrogen bonds,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",1,41,crystal:0:structure,hydrogen:0:bond,are,7
10.1107/S1600536804022160,In the crystal structure the phosphinate O atoms are involved in hydrogen bonds with the water molecule of crystallization and the NH group of the proplyamine side chain of the anthracene moiety,phosphinate O atoms,involved in,hydrogen bonds,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",2,17,phosphinate:0:o:1:atom,hydrogen:0:bond,are,3
10.1107/S0108270199015607,The title compound C9H8FN5 middot C3H7NO contains two independent complexes in the asymmetric unit each consisting of one 35diamino62fluorophenyl124triazine molecule and one dimethylformamide solvent molecule,title compound,contains,independent complexes,contain,"{'contain', 'check', 'hold', 'comprise', 'curb', 'moderate', 'control', 'incorporate', 'arrest', 'carry', 'stop', 'bear'}",1,36,title:0:compound,independent:0:complex,,5
10.1107/S0108270199015607,The title compound C9H8FN5 middot C3H7NO contains two independent complexes in the asymmetric unit each consisting of one 35diamino62fluorophenyl124triazine molecule and one dimethylformamide solvent molecule,asymmetric unit,consisting of,solvent molecule,consist,"{'belong', 'comprise', 'dwell', 'consist', 'lie'}",1,94,asymmetric:0:unit,solvent:0:molecule,,9
10.1107/S0108270199015607,The title compound C9H8FN5 middot C3H7NO contains two independent complexes in the asymmetric unit each consisting of one 35diamino62fluorophenyl124triazine molecule and one dimethylformamide solvent molecule,two independent complexes in the asymmetric unit,consisting of,one dimethylformamide solvent molecule,consist,"{'belong', 'comprise', 'dwell', 'consist', 'lie'}",2,72,asymmetric:0:unit:1:independent:0:complex,solvent:0:molecule:1:dimethylformamide,,7
10.1107/S0108270199015607,One triazine molecule is disordered over two conformations within the crystal the occupancies being 62 emsp14 1 and 38 emsp14,triazine molecule,disordered over,two conformations within the crystal,disorder,"{'disquiet', 'disarray', 'perturb', 'trouble', 'cark', 'disorder', 'unhinge', 'distract'}",1,20,triazine:0:molecule,crystal:0:conformation,is,3
10.1107/S0108270199015607,One triazine molecule is disordered over two conformations within the crystal the occupancies being 62 emsp14 1 and 38 emsp14,One triazine molecule,disordered over,two conformations within the crystal,disorder,"{'disquiet', 'disarray', 'perturb', 'trouble', 'cark', 'disorder', 'unhinge', 'distract'}",2,20,one:1:triazine:0:molecule,crystal:0:conformation,is,3
10.1107/S0108270199015607,The triazine molecules of the asymmetric unit differ in the dihedral angles between their respective phenyl and triazine ring planes these being 576 emsp14 2 deg  for the fully occupied and 769 emsp14 6 and 1068 emsp14 8 deg  for the partially occupied molecules,triazine ring planes,being,partially occupied molecules,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,102,triazine:0:ring:1:plane,partially:0:occupy:1:molecule,,21
10.1107/S0108270199015607,An extensive network of hydrogen bonds maintains the crystal structure,hydrogen bonds,maintains,crystal structure,maintain,"{'keep', 'sustain', 'wield', 'asseverate', 'hold', 'preserve', 'uphold', 'assert', 'conserve', 'exert', 'maintain', 'defend'}",1,15,hydrogen:0:bond,crystal:0:structure,,2
10.1107/S0108270199015607,An extensive network of hydrogen bonds maintains the crystal structure,extensive network of hydrogen bonds,maintains,crystal structure,maintain,"{'keep', 'sustain', 'wield', 'asseverate', 'hold', 'preserve', 'uphold', 'assert', 'conserve', 'exert', 'maintain', 'defend'}",2,15,hydrogen:0:bond:1:extensive:0:network,crystal:0:structure,,2
10.1107/S1600536804023682,In the crystal structure the molecules exist as centrosymmetric N mdash H,crystal structure,exist as,centrosymmetric N,exist,"{'survive', 'be', 'subsist', 'exist', 'live'}",1,24,crystal:0:structure,centrosymmetric:0:n,,4
10.1107/S1600536804023682,In the crystal structure the molecules exist as centrosymmetric N mdash H,crystal structure,exist as,centrosymmetric N mdash,exist,"{'survive', 'be', 'subsist', 'exist', 'live'}",2,24,crystal:0:structure,centrosymmetric:0:n:1:mdash,,4
10.1107/S1600536804023682,In the crystal structure the molecules exist as centrosymmetric N mdash H,crystal structure,exist as,centrosymmetric N mdash H,exist,"{'survive', 'be', 'subsist', 'exist', 'live'}",3,24,crystal:0:structure,centrosymmetric:0:n:1:mdash:2:h,,4
10.1107/S1600536804024043,The crystal structure involves intermolecular C mdash H,crystal structure,involves,mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",1,27,crystal:0:structure,mdash:0:h,,3
10.1107/S1600536804024043,The crystal structure involves intermolecular C mdash H,crystal structure,involves,C mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",2,25,crystal:0:structure,c:1:mdash:0:h,,2
10.1107/S1600536804024043,The crystal structure involves intermolecular C mdash H,crystal structure,involves,intermolecular C mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",3,10,crystal:0:structure,intermolecular:2:c:1:mdash:0:h,,1
10.1107/S0108270104017883,In the molecule of the title compound C16H13BrO the two benzene rings are rotated in opposite directions with respect to the central C mdash CC mdash C part of the molecule,benzene rings,rotated in,opposite directions,rotate,"{'revolve', 'rotate', 'splay'}",1,16,benzene:0:ring,opposite:0:direction,are,3
10.1107/S0108270104017883,In the crystal structure molecules are paired through C mdash H,crystal structure,paired through,mdash H,pair,"{'match', 'copulate', 'pair', 'couple', 'mate', 'geminate', 'twin'}",1,32,crystal:0:structure,mdash:0:h,are,5
10.1107/S0108270104017883,In the crystal structure molecules are paired through C mdash H,crystal structure,paired through,C mdash H,pair,"{'match', 'copulate', 'pair', 'couple', 'mate', 'geminate', 'twin'}",2,30,crystal:0:structure,c:1:mdash:0:h,are,4
10.1107/S0108270104017883,The molecular pairs along 001 are hydrogen bonded through three translationrelated cooperative hydrogen bonds in the bay area forming molecular chains which are further hydrogen bonded through C mdash H,bay area,forming,molecular chains,form,"{'organise', 'constitute', 'spring', 'form', 'organize', 'mould', 'imprint', 'forge', 'mold', 'shape'}",1,9,bay:0:area,molecular:0:chain,,1
10.1107/S0108270104018682,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,title compound,considered as,ester functionalities,consider,"{'think', 'deal', 'deliberate', 'moot', 'believe', 'weigh', 'reckon', 'debate', 'study', 'view', 'conceive', 'regard', 'count', 'consider', 'see'}",1,147,title:0:compound,ester:0:functionality,be,21
10.1107/S0108270104018682,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,title compound,being,ester functionalities,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,147,title:0:compound,ester:0:functionality,,21
10.1107/S0108270104018682,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,title compound,composed of,ester functionalities,compose,"{'compile', 'write', 'indite', 'compose', 'frame', 'pen'}",1,147,title:0:compound,ester:0:functionality,,21
10.1107/S0108270104018682,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,title compound,considered as,two singly bonded amide and ester functionalities,consider,"{'think', 'deal', 'deliberate', 'moot', 'believe', 'weigh', 'reckon', 'debate', 'study', 'view', 'conceive', 'regard', 'count', 'consider', 'see'}",2,119,title:0:compound,ester:0:functionality:1:singly:0:bond:1:amide,be,16
10.1107/S0108270104018682,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,title compound,being,two singly bonded amide and ester functionalities,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,119,title:0:compound,ester:0:functionality:1:singly:0:bond:1:amide,,16
10.1107/S0108270104018682,The ethyl oxamate group N ndash CO ndash CO ndash OEt in the title compound alternatively called diethyl NN prime NN prime bisethylenedioxamate C12H18N2O6 can be considered as being composed of two singly bonded amide and ester functionalities,title compound,composed of,two singly bonded amide and ester functionalities,compose,"{'compile', 'write', 'indite', 'compose', 'frame', 'pen'}",2,119,title:0:compound,ester:0:functionality:1:singly:0:bond:1:amide,,16
10.1107/S0108270104018682,Infinite supramolecular tapes propagating along the b axis are formed through soft C mdash H,b axis,formed through,C mdash,form,"{'organise', 'constitute', 'spring', 'form', 'organize', 'mould', 'imprint', 'forge', 'mold', 'shape'}",1,25,b:0:axis,c:0:mdash,are,4
10.1107/S0108270104018682,Infinite supramolecular tapes propagating along the b axis are formed through soft C mdash H,b axis,formed through,soft C mdash,form,"{'organise', 'constitute', 'spring', 'form', 'organize', 'mould', 'imprint', 'forge', 'mold', 'shape'}",2,20,b:0:axis,soft:1:c:0:mdash,are,3
10.1107/S0108270100001499,The central part of the title molecule C50H66 is planar all the rings being in the same plane the lateral chains are also planar excluding H atoms almost perpendicular to the ring plane and grafted on the same side of the molecule,lateral chains,excluding excluding,H atoms,exclude,"{'exclude', 'expel', 'debar', 'except', 'eject', 'omit', 'bar', 'shut'}",1,27,lateral:0:chain,h:0:atom,,4
10.1107/S0108270104016130,The title compound C14H24N2O4 consists of two symmetric moieties related through a twofold axis,title compound,consists of,symmetric moieties,consist,"{'belong', 'comprise', 'dwell', 'consist', 'lie'}",1,28,title:0:compound,symmetric:0:moiety,,4
10.1107/S0108270104016130,The title compound C14H24N2O4 consists of two symmetric moieties related through a twofold axis,title compound,consists of,symmetric moieties related through a twofold axis,consist,"{'belong', 'comprise', 'dwell', 'consist', 'lie'}",3,28,title:0:compound,twofold:0:axis:1:relate:2:symmetric:0:moiety,,4
